dbn,score,travel_time,geom
16K498,3.89,35.483333333333334,POINT (-73.9209060000000022 40.6888310000000004)
17K524,4.11,18.65,POINT (-73.9616950000000060 40.6703490000000016)
02M531,3.99,48.55,POINT (-73.9843819999999965 40.7558429999999987)
05M670,3.27,64.61666666666666,POINT (-73.9442020000000042 40.8155089999999987)
03M291,4.66,69.41666666666667,POINT (-73.9874789999999933 40.7720070000000021)
24Q299,4.49,65.55,POINT (-73.9366349999999954 40.7450949999999992)
17K408,4.47,37.1,POINT (-73.9585500000000025 40.6497870000000034)
19K683,3.52,42.9,POINT (-73.8742079999999959 40.6707239999999999)
02M407,3.59,49.95,POINT (-73.9830309999999969 40.7324470000000005)
27Q302,4.19,63.06666666666667,POINT (-73.7627949999999970 40.6020099999999999)
12X251,3.83,82.31666666666666,POINT (-73.8904579999999953 40.8359000000000023)
03M485,3.17,57.233333333333334,POINT (-73.9852730000000065 40.7736289999999997)
15K429,3.27,32.06666666666667,POINT (-73.9933510000000041 40.6854190000000031)
21K559,4.03,75.96666666666667,POINT (-73.9857700000000023 40.5942909999999983)
24Q560,3.16,68.23333333333333,POINT (-73.9367819999999938 40.7428389999999965)
11X290,2.97,99.9,POINT (-73.8619699999999995 40.8759530000000026)
09X250,2.88,92.05,POINT (-73.9024990000000059 40.8336650000000034)
03M417,3.59,60.21666666666667,POINT (-73.9746140000000025 40.7858030000000014)
17K547,3.48,18.65,POINT (-73.9616950000000060 40.6703490000000016)
02M437,3.14,44.016666666666666,POINT (-74.0021359999999930 40.7428669999999968)
27Q323,2.3,64.21666666666667,POINT (-73.8257109999999983 40.5841089999999980)
11X545,2.76,99.9,POINT (-73.8619699999999995 40.8759530000000026)
28Q687,4.33,57.35,POINT (-73.7981510000000043 40.7010489999999976)
17K528,3.3,18.65,POINT (-73.9616950000000060 40.6703490000000016)
17K751,3.2,8.766666666666667,POINT (-73.9388430000000056 40.6756120000000010)
18K576,2.93,44.03333333333333,POINT (-73.9167350000000027 40.6332850000000008)
19K404,3.03,73.36666666666666,POINT (-73.8747560000000050 40.6574590000000029)
15K684,4.01,43.96666666666667,POINT (-73.9792869999999994 40.6696290000000005)
31R445,3.93,86.15,POINT (-74.1418180000000007 40.6345730000000032)
23K514,4.7,40.983333333333334,POINT (-73.9117049999999978 40.6658779999999993)
15K497,4.58,32.06666666666667,POINT (-73.9933510000000041 40.6854190000000031)
02M294,4.56,39.71666666666667,POINT (-73.9893370000000061 40.7167779999999979)
05M304,4.6,59.45,POINT (-73.9477119999999957 40.8173719999999989)
02M413,4.79,48.53333333333333,POINT (-73.9854789999999980 40.7389519999999976)
04M372,4.78,65.08333333333333,POINT (-73.9423029999999954 40.7930700000000002)
07X334,3.19,72.58333333333333,POINT (-73.9177920000000057 40.8100400000000008)
02M655,4.01,61.583333333333336,POINT (-73.9456370000000049 40.7836250000000007)
31R450,2.91,105.58333333333333,POINT (-74.0812219999999968 40.6447349999999972)
18K637,3.27,44.03333333333333,POINT (-73.9167350000000027 40.6332850000000008)
21K410,2.84,51.733333333333334,POINT (-73.9673080000000027 40.5816810000000032)
09X543,3.5,86.56666666666666,POINT (-73.9044729999999959 40.8276419999999973)
02M303,2.83,69.61666666666666,POINT (-73.9929530000000000 40.7651839999999979)
08X558,3.39,95.9,POINT (-73.8385449999999963 40.8407020000000003)
02M412,4.9,39.7,POINT (-74.0021980000000070 40.7421289999999985)
04M495,2.65,64.05,POINT (-73.9443559999999991 40.7905429999999996)
02M047,3.3,58.766666666666666,POINT (-73.9824550000000016 40.7385480000000015)
07X600,4.83,77.36666666666666,POINT (-73.9198669999999964 40.8182320000000018)
14K449,3.53,46.21666666666667,POINT (-73.9436409999999995 40.7099410000000006)
09X404,3.89,86.56666666666666,POINT (-73.9044729999999959 40.8276419999999973)
06M540,4.25,72.46666666666667,POINT (-73.9503559999999993 40.8181879999999992)
26Q495,4.16,95.11666666666666,POINT (-73.7802960000000070 40.7717549999999989)
02M425,2.42,38.1,POINT (-74.0123320000000007 40.7087300000000027)
10X565,2.56,132.76666666666668,POINT (-73.8827150000000046 40.8556979999999967)
11X249,4.42,103.06666666666666,POINT (-73.8339040000000040 40.8740910000000000)
21K468,3.07,75.96666666666667,POINT (-73.9857700000000023 40.5942909999999983)
02M135,3.5,36.516666666666666,POINT (-74.0008509999999973 40.7114419999999981)
32K403,4.51,43.56666666666667,POINT (-73.9107910000000032 40.6969700000000003)
02M420,3.28,49.95,POINT (-73.9830309999999969 40.7324470000000005)
16K765,4.83,20.266666666666666,POINT (-73.9324069999999978 40.6794399999999996)
25Q670,3.82,68.05,POINT (-73.8106970000000047 40.7256029999999996)
19K507,2.8,32.083333333333336,POINT (-73.8947469999999953 40.6674560000000014)
09X505,2.61,77.96666666666667,POINT (-73.9186810000000065 40.8276070000000004)
31R600,3.92,95.81666666666666,POINT (-74.0787299999999931 40.6427929999999975)
09X365,4.26,82.11666666666666,POINT (-73.9160700000000048 40.8496230000000011)
13K265,3.28,39.166666666666664,POINT (-73.9757800000000003 40.6963239999999971)
01M448,3.52,45.35,POINT (-73.9844970000000046 40.7123989999999978)
18K633,2.53,46.53333333333333,POINT (-73.8982539999999943 40.6414740000000023)
19K615,0.0,49.38333333333333,POINT (-73.8759600000000063 40.6782759999999968)
20K445,2.5,49.86666666666667,POINT (-74.0034040000000033 40.6132619999999989)
07X427,3.62,72.9,POINT (-73.9303859999999986 40.8159380000000027)
24Q236,3.64,61.8,POINT (-73.8747209999999939 40.7411219999999972)
27Q260,3.02,63.06666666666667,POINT (-73.7627949999999970 40.6020099999999999)
11X514,3.11,110.03333333333333,POINT (-73.8526939999999996 40.8878309999999985)
09X227,3.93,76.01666666666667,POINT (-73.9109100000000012 40.8404219999999967)
02M282,4.33,36.516666666666666,POINT (-74.0008509999999973 40.7114419999999981)
03M415,4.69,65.21666666666667,POINT (-73.9541420000000045 40.8022070000000028)
10X477,2.73,84.68333333333334,POINT (-73.9122559999999993 40.8771050000000002)
29Q243,2.88,84.13333333333334,POINT (-73.7457279999999997 40.6978190000000026)
25Q281,4.83,85.55,POINT (-73.8220730000000032 40.7495449999999977)
06M467,4.16,71.53333333333333,POINT (-73.9270510000000058 40.8559539999999970)
21K540,2.85,56.13333333333333,POINT (-73.9817380000000071 40.5892679999999970)
15K592,3.41,25.583333333333332,POINT (-73.9796489999999949 40.6864989999999977)
27Q400,4.21,73.33333333333333,POINT (-73.7833420000000046 40.6756329999999977)
29Q492,4.76,84.13333333333334,POINT (-73.7457279999999997 40.6978190000000026)
24Q267,4.4,65.55,POINT (-73.9366349999999954 40.7450949999999992)
02M439,4.58,42.86666666666667,POINT (-73.9915120000000002 40.7414970000000025)
10X368,3.48,83.83333333333333,POINT (-73.9098960000000034 40.8793679999999995)
13K350,1.79,39.46666666666667,POINT (-73.9850160000000017 40.6973389999999995)
27Q308,2.91,47.483333333333334,POINT (-73.8451409999999981 40.6712399999999974)
21K337,2.65,75.96666666666667,POINT (-73.9857700000000023 40.5942909999999983)
28Q350,4.34,81.88333333333334,POINT (-73.7972369999999955 40.7132179999999977)
16K688,3.04,34.9,POINT (-73.9336969999999951 40.6912739999999999)
28Q620,2.76,66.73333333333333,POINT (-73.8003690000000034 40.7153890000000018)
06M463,2.72,71.53333333333333,POINT (-73.9270510000000058 40.8559539999999970)
06M468,4.65,71.53333333333333,POINT (-73.9270510000000058 40.8559539999999970)
10X237,3.3,84.88333333333334,POINT (-73.9010990000000021 40.8759110000000021)
01M509,4.14,58.983333333333334,POINT (-73.9856450000000052 40.7205810000000028)
28Q167,3.67,50.916666666666664,POINT (-73.8566979999999944 40.7113670000000027)
08X367,3.14,101.38333333333334,POINT (-73.8565799999999939 40.8148330000000001)
17K539,3.51,37.1,POINT (-73.9585500000000025 40.6497870000000034)
24Q455,2.48,61.8,POINT (-73.8747209999999939 40.7411219999999972)
27Q475,2.47,52.8,POINT (-73.8336809999999986 40.6958879999999965)
07X548,3.09,72.95,POINT (-73.9238289999999978 40.8223100000000017)
23K493,2.84,42.25,POINT (-73.9132730000000038 40.6741030000000023)
02M545,3.47,39.71666666666667,POINT (-73.9893370000000061 40.7167779999999979)
15K667,4.36,35.766666666666666,POINT (-74.0051969999999955 40.6557099999999991)
02M280,3.99,36.516666666666666,POINT (-74.0008509999999973 40.7114419999999981)
06M348,2.86,83.4,POINT (-73.9309480000000008 40.8489080000000016)
13K439,3.96,39.46666666666667,POINT (-73.9850160000000017 40.6973389999999995)
07X500,3.22,73.91666666666667,POINT (-73.9122399999999971 40.8154979999999981)
14K614,2.42,48.53333333333333,POINT (-73.9394070000000028 40.7052040000000019)
07X522,4.72,77.36666666666666,POINT (-73.9198669999999964 40.8182320000000018)
07X473,3.71,77.88333333333334,POINT (-73.9110299999999967 40.8182499999999990)
18K617,2.37,46.53333333333333,POINT (-73.8982539999999943 40.6414740000000023)
10X351,3.68,93.4,POINT (-73.8869100000000003 40.8821780000000032)
25Q460,2.3,79.76666666666667,POINT (-73.8278899999999965 40.7651660000000007)
30Q502,3.95,49.25,POINT (-73.9463800000000049 40.7487009999999970)
30Q445,3.89,73.65,POINT (-73.9105140000000063 40.7582299999999975)
