name,median_income,tract
"Census Tract 1, New York County, New York",0.0,1000100
"Census Tract 2.01, New York County, New York",22500.0,1000201
"Census Tract 2.02, New York County, New York",32500.0,1000202
"Census Tract 5, New York County, New York",0.0,1000500
"Census Tract 6, New York County, New York",17500.0,1000600
"Census Tract 7, New York County, New York",112500.0,1000700
"Census Tract 8, New York County, New York",32500.0,1000800
"Census Tract 9, New York County, New York",175000.0,1000900
"Census Tract 10.01, New York County, New York",87500.0,1001001
"Census Tract 10.02, New York County, New York",17500.0,1001002
"Census Tract 12, New York County, New York",55000.0,1001200
"Census Tract 13, New York County, New York",112500.0,1001300
"Census Tract 14.01, New York County, New York",87500.0,1001401
"Census Tract 14.02, New York County, New York",27500.0,1001402
"Census Tract 15.01, New York County, New York",87500.0,1001501
"Census Tract 15.02, New York County, New York",137500.0,1001502
"Census Tract 16, New York County, New York",42500.0,1001600
"Census Tract 18, New York County, New York",67500.0,1001800
"Census Tract 20, New York County, New York",17500.0,1002000
"Census Tract 21, New York County, New York",250000.0,1002100
"Census Tract 22.01, New York County, New York",32500.0,1002201
"Census Tract 22.02, New York County, New York",87500.0,1002202
"Census Tract 24, New York County, New York",17500.0,1002400
"Census Tract 25, New York County, New York",17500.0,1002500
"Census Tract 26.01, New York County, New York",55000.0,1002601
"Census Tract 26.02, New York County, New York",67500.0,1002602
"Census Tract 27, New York County, New York",55000.0,1002700
"Census Tract 28, New York County, New York",37500.0,1002800
"Census Tract 29, New York County, New York",32500.0,1002900
"Census Tract 30.01, New York County, New York",67500.0,1003001
"Census Tract 30.02, New York County, New York",55000.0,1003002
"Census Tract 31, New York County, New York",175000.0,1003100
"Census Tract 32, New York County, New York",67500.0,1003200
"Census Tract 33, New York County, New York",250000.0,1003300
"Census Tract 34, New York County, New York",87500.0,1003400
"Census Tract 36.01, New York County, New York",47500.0,1003601
"Census Tract 36.02, New York County, New York",87500.0,1003602
"Census Tract 37, New York County, New York",137500.0,1003700
"Census Tract 38, New York County, New York",67500.0,1003800
"Census Tract 39, New York County, New York",175000.0,1003900
"Census Tract 40, New York County, New York",87500.0,1004000
"Census Tract 41, New York County, New York",87500.0,1004100
"Census Tract 42, New York County, New York",137500.0,1004200
"Census Tract 43, New York County, New York",67500.0,1004300
"Census Tract 44, New York County, New York",87500.0,1004400
"Census Tract 45, New York County, New York",137500.0,1004500
"Census Tract 47, New York County, New York",112500.0,1004700
"Census Tract 48, New York County, New York",112500.0,1004800
"Census Tract 49, New York County, New York",112500.0,1004900
"Census Tract 50, New York County, New York",137500.0,1005000
"Census Tract 52, New York County, New York",175000.0,1005200
"Census Tract 54, New York County, New York",137500.0,1005400
"Census Tract 55.01, New York County, New York",175000.0,1005501
"Census Tract 55.02, New York County, New York",112500.0,1005502
"Census Tract 56, New York County, New York",112500.0,1005600
"Census Tract 57, New York County, New York",137500.0,1005700
"Census Tract 58, New York County, New York",175000.0,1005800
"Census Tract 59, New York County, New York",112500.0,1005900
"Census Tract 60, New York County, New York",112500.0,1006000
"Census Tract 61, New York County, New York",112500.0,1006100
"Census Tract 62, New York County, New York",112500.0,1006200
"Census Tract 63, New York County, New York",112500.0,1006300
"Census Tract 64, New York County, New York",112500.0,1006400
"Census Tract 65, New York County, New York",112500.0,1006500
"Census Tract 66, New York County, New York",67500.0,1006600
"Census Tract 67, New York County, New York",87500.0,1006700
"Census Tract 68, New York County, New York",112500.0,1006800
"Census Tract 69, New York County, New York",250000.0,1006900
"Census Tract 70, New York County, New York",87500.0,1007000
"Census Tract 71, New York County, New York",137500.0,1007100
"Census Tract 72, New York County, New York",112500.0,1007200
"Census Tract 73, New York County, New York",87500.0,1007300
"Census Tract 74, New York County, New York",112500.0,1007400
"Census Tract 75, New York County, New York",137500.0,1007500
"Census Tract 76, New York County, New York",112500.0,1007600
"Census Tract 77, New York County, New York",112500.0,1007700
"Census Tract 78, New York County, New York",112500.0,1007800
"Census Tract 79, New York County, New York",87500.0,1007900
"Census Tract 80, New York County, New York",112500.0,1008000
"Census Tract 81, New York County, New York",112500.0,1008100
"Census Tract 82, New York County, New York",112500.0,1008200
"Census Tract 83, New York County, New York",67500.0,1008300
"Census Tract 84, New York County, New York",112500.0,1008400
"Census Tract 86.01, New York County, New York",137500.0,1008601
"Census Tract 86.02, New York County, New York",0.0,1008602
"Census Tract 86.03, New York County, New York",137500.0,1008603
"Census Tract 87, New York County, New York",137500.0,1008700
"Census Tract 88, New York County, New York",87500.0,1008800
"Census Tract 89, New York County, New York",87500.0,1008900
"Census Tract 90, New York County, New York",137500.0,1009000
"Census Tract 91, New York County, New York",112500.0,1009100
"Census Tract 92, New York County, New York",112500.0,1009200
"Census Tract 93, New York County, New York",67500.0,1009300
"Census Tract 94, New York County, New York",175000.0,1009400
"Census Tract 95, New York County, New York",175000.0,1009500
"Census Tract 96, New York County, New York",137500.0,1009600
"Census Tract 97, New York County, New York",42500.0,1009700
"Census Tract 98, New York County, New York",137500.0,1009800
"Census Tract 99, New York County, New York",137500.0,1009900
"Census Tract 100, New York County, New York",87500.0,1010000
"Census Tract 101, New York County, New York",137500.0,1010100
